
*---------- Result file number [0] ----------*
  * File name   : C:\Users\gmdms\Desktop\측정 데이터\EIS\240207 SOC별 EIS 테스트 (충방전기)\240206 SOC별 EIS 테스트 (포텐시오스텟)\Potentiostat_SOC vs EIS_1_01.SDE
  * Device Information : Channel 1 [Device 2, Device channel 1]  * Data version : 0001  * Test duration : 2024/02/06 17:52:28 ~ 2024/02/07 15:55:05
      -> Current convention : Anodic )  * Channel : 1 (Device : 2<R04BA2311016>, Device channel : 1 )
  * Firmware version : USB( 6.7.4.0 ) , FPGA( 6.7.4.3 ) , DSP( 6.7.4.7 )
  * Flow status : READY , Error status : NONE  * Data count : 1649
  * Sequence file : C:\ZIVE DATA\SM6\schedule\3.0-4.3 SoC vs EIS (CCCV).ZSC
  * Tester : 
  * Memo : 

---------------------------	---------------------------	---------------------------	---------------------------	---------------------------	
                File Number	                List Number	                  Frequency	                      Zreal	                       -Zim	
                           	                           	                         Hz	                        Ohm	                        Ohm	
---------------------------	---------------------------	---------------------------	---------------------------	---------------------------	
                          1	                        243	2.15440001339e-002	1.24220981598e+001	3.56028246880e+000	
                          1	                        244	1.46779995412e-002	1.31354150772e+001	4.50375890732e+000	
                          1	                        245	9.99999977648e-003	1.41079654694e+001	5.65771818161e+000	
                          1	                        246	1.00000000000e+006	1.46425998211e+000	-3.87103796005e-001	
                          1	                        247	6.81290000000e+005	1.53045678139e+000	-7.55570158362e-002	
                          1	                        248	4.64160000000e+005	1.62160289288e+000	1.77973777056e-001	
                          1	                        249	3.16230000000e+005	1.75246763229e+000	3.94280761480e-001	
                          1	                        250	2.15440000000e+005	1.93935573101e+000	5.75523674488e-001	
                          1	                        251	1.46780000000e+005	2.16224575043e+000	7.11036682129e-001	
                          1	                        252	1.00000000000e+005	2.40529561043e+000	7.94260323048e-001	
                          1	                        253	6.81290000000e+004	2.64838242531e+000	8.33756744862e-001	
                          1	                        254	4.64160000000e+004	2.88027405739e+000	8.47487032413e-001	
                          1	                        255	3.16230000000e+004	3.10004353523e+000	8.51087629795e-001	
                          1	                        256	2.15440000000e+004	3.30692052841e+000	8.54631781578e-001	
                          1	                        257	1.46780000000e+004	3.51100015640e+000	8.62013339996e-001	
                          1	                        258	1.00000000000e+004	3.71483635902e+000	8.77687454224e-001	
                          1	                        259	6.81289990234e+003	3.91442108154e+000	9.00522768497e-001	
                          1	                        260	4.64160009766e+003	4.11955690384e+000	9.38509404659e-001	
                          1	                        261	3.16230004883e+003	4.33205080032e+000	9.94323492050e-001	
                          1	                        262	2.15439990234e+003	4.56350851059e+000	1.06708312035e+000	
                          1	                        263	1.46780004883e+003	4.81912851334e+000	1.15589272976e+000	
                          1	                        264	1.00000000000e+003	5.10260534286e+000	1.25673019886e+000	
                          1	                        265	6.81289978027e+002	5.42274141312e+000	1.36288821697e+000	
                          1	                        266	4.64160003662e+002	5.77566909790e+000	1.46636843681e+000	
                          1	                        267	3.16230010986e+002	6.16287422180e+000	1.55872225761e+000	
                          1	                        268	2.15440002441e+002	6.57496738434e+000	1.63452112675e+000	
                          1	                        269	1.46779998779e+002	7.00309705734e+000	1.69241607189e+000	
                          1	                        270	1.00000000000e+002	7.44765949249e+000	1.73715996742e+000	
                          1	                        271	6.81289978027e+001	7.89992237091e+000	1.76496326923e+000	
                          1	                        272	4.64160003662e+001	8.37315750122e+000	1.75242340565e+000	
                          1	                        273	3.16229991913e+001	8.83899879456e+000	1.73319888115e+000	
                          1	                        274	2.15440006256e+001	9.29228782654e+000	1.68565225601e+000	
                          1	                        275	1.46780004501e+001	9.73221206665e+000	1.61216998100e+000	
